epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6043.78,1.29241,0.94508,1.3403,0.90321,0.89266,0.93624,0.60936,1.23585,0.61572,1.23123,0.0059041,0.0059041,0.0059041
43,6187.4,1.30224,0.95304,1.34316,0.9072,0.89015,0.93594,0.60249,1.26032,0.61749,1.23695,0.0058042,0.0058042,0.0058042
44,6331.13,1.29496,0.93941,1.33997,0.90745,0.89358,0.9365,0.61336,1.22611,0.61439,1.22334,0.0057043,0.0057043,0.0057043
45,6474.89,1.29311,0.94124,1.33942,0.90443,0.88977,0.9346,0.61393,1.2198,0.61477,1.22612,0.0056044,0.0056044,0.0056044
46,6618.14,1.27854,0.93077,1.33168,0.91699,0.88844,0.93788,0.6158,1.22141,0.60288,1.21333,0.0055045,0.0055045,0.0055045
47,6760.95,1.28358,0.92326,1.33161,0.91289,0.89046,0.93676,0.61337,1.22493,0.603,1.22534,0.0054046,0.0054046,0.0054046
48,6905.99,1.28136,0.92542,1.3342,0.91557,0.8835,0.9361,0.61332,1.22135,0.60597,1.22841,0.0053047,0.0053047,0.0053047
49,7049.66,1.27785,0.91987,1.33042,0.91811,0.88776,0.93812,0.61687,1.21646,0.60289,1.22078,0.0052048,0.0052048,0.0052048
50,7193.52,1.28144,0.92123,1.33267,0.91366,0.89344,0.93667,0.61026,1.24845,0.59936,1.22445,0.0051049,0.0051049,0.0051049
51,7337.44,1.27489,0.91963,1.32553,0.91866,0.88874,0.93769,0.61709,1.22,0.59355,1.21382,0.005005,0.005005,0.005005
52,7481.37,1.26951,0.90887,1.32253,0.92258,0.88786,0.93856,0.6224,1.21345,0.59121,1.21438,0.0049051,0.0049051,0.0049051
53,7625.77,1.2715,0.90642,1.32216,0.9224,0.89101,0.9395,0.6203,1.21287,0.58798,1.21511,0.0048052,0.0048052,0.0048052
54,7770.39,1.26593,0.90693,1.32163,0.92026,0.8892,0.93922,0.61962,1.21673,0.59183,1.22021,0.0047053,0.0047053,0.0047053
55,7914.41,1.26437,0.90382,1.32197,0.91581,0.89432,0.94009,0.62105,1.21191,0.58726,1.20917,0.0046054,0.0046054,0.0046054
56,8062.54,1.26922,0.89931,1.31711,0.91642,0.89016,0.94089,0.62337,1.20859,0.5855,1.20622,0.0045055,0.0045055,0.0045055
57,8207.96,1.25815,0.89758,1.31851,0.92015,0.89226,0.94082,0.62026,1.21625,0.58465,1.20624,0.0044056,0.0044056,0.0044056
58,8351.88,1.26034,0.90291,1.31643,0.91743,0.89618,0.93957,0.62034,1.21966,0.58274,1.20679,0.0043057,0.0043057,0.0043057
59,8495.78,1.24525,0.88218,1.3051,0.90886,0.90027,0.94019,0.62292,1.20894,0.58067,1.20533,0.0042058,0.0042058,0.0042058
60,8640.08,1.2534,0.88768,1.31496,0.91573,0.89939,0.94192,0.62463,1.20328,0.57749,1.20612,0.0041059,0.0041059,0.0041059
61,8783.84,1.25268,0.88597,1.31091,0.91634,0.89507,0.94011,0.62413,1.21262,0.5791,1.21017,0.004006,0.004006,0.004006
62,8928.96,1.26307,0.89182,1.31491,0.9209,0.89351,0.94244,0.62207,1.22245,0.57709,1.21016,0.0039061,0.0039061,0.0039061
63,9072.91,1.24787,0.87862,1.30376,0.91488,0.8987,0.94287,0.62551,1.20938,0.57485,1.20533,0.0038062,0.0038062,0.0038062
64,9216.66,1.24312,0.87571,1.30381,0.91238,0.90306,0.94263,0.62812,1.19859,0.57063,1.20124,0.0037063,0.0037063,0.0037063
65,9360.92,1.24039,0.86881,1.29981,0.9187,0.8959,0.94316,0.62794,1.20516,0.56852,1.19949,0.0036064,0.0036064,0.0036064
66,9504.79,1.24135,0.87223,1.30062,0.91575,0.89715,0.94157,0.62875,1.19896,0.57085,1.19913,0.0035065,0.0035065,0.0035065
