epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.737,1.6656,2.30059,1.70542,0.81711,0.74797,0.80942,0.39526,1.69065,1.26364,1.64589,0.0033269,0.0033269,0.0033269
2,311.608,1.54678,1.43056,1.59394,0.79986,0.75349,0.81753,0.42393,1.59951,1.16687,1.54642,0.0065943,0.0065943,0.0065943
3,466.581,1.5807,1.44983,1.59328,0.76219,0.67004,0.74398,0.3697,1.68937,1.27945,1.65474,0.00979569,0.00979569,0.00979569
4,619.288,1.61727,1.49032,1.61812,0.73469,0.60968,0.66036,0.26627,2.0292,1.62866,1.99349,0.009703,0.009703,0.009703
5,775.405,1.57684,1.4095,1.58697,0.81756,0.75902,0.82115,0.41295,1.70594,1.12633,1.6388,0.009604,0.009604,0.009604
6,928.074,1.54291,1.34301,1.56397,0.82233,0.76156,0.83597,0.44051,1.62154,1.0282,1.55645,0.009505,0.009505,0.009505
7,1081.03,1.51538,1.30848,1.54561,0.81547,0.76765,0.83402,0.4601,1.52149,1.04576,1.47819,0.009406,0.009406,0.009406
8,1231.5,1.49238,1.25945,1.52896,0.83049,0.7798,0.84926,0.4409,1.6551,0.99517,1.55957,0.009307,0.009307,0.009307
9,1384.55,1.47264,1.22419,1.51557,0.85941,0.79953,0.87049,0.50178,1.4504,0.89076,1.43216,0.009208,0.009208,0.009208
10,1535.58,1.46314,1.19926,1.50584,0.86538,0.80022,0.87469,0.50891,1.45836,0.85264,1.42482,0.009109,0.009109,0.009109
11,1684,1.4497,1.18363,1.49532,0.87812,0.80932,0.8904,0.53558,1.37223,0.80843,1.38684,0.00901,0.00901,0.00901
12,1837.35,1.44262,1.16422,1.48686,0.85708,0.83065,0.88244,0.51918,1.42574,0.81453,1.41146,0.008911,0.008911,0.008911
13,1987.52,1.43215,1.14416,1.48025,0.8573,0.82119,0.88142,0.5386,1.35458,0.80632,1.36392,0.008812,0.008812,0.008812
