epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,52433.4,1.14712,0.75974,1.35125,0.92063,0.90098,0.94544,0.65102,1.13476,0.51829,1.4024,0.005842,0.005842,0.005842
44,53680.6,1.14101,0.75334,1.34229,0.91362,0.91188,0.94587,0.65222,1.13816,0.51777,1.40241,0.005743,0.005743,0.005743
45,54862.6,1.14434,0.75378,1.3463,0.92106,0.91012,0.94724,0.65363,1.13615,0.51802,1.39935,0.005644,0.005644,0.005644
46,56029.4,1.13534,0.74016,1.33976,0.92123,0.91305,0.94917,0.65427,1.13898,0.51102,1.40151,0.005545,0.005545,0.005545
47,57212.7,1.14457,0.75505,1.35057,0.91934,0.91071,0.94945,0.65385,1.13581,0.51425,1.39897,0.005446,0.005446,0.005446
48,58386.3,1.1295,0.73296,1.33721,0.9171,0.91369,0.94839,0.65704,1.13268,0.51028,1.39635,0.005347,0.005347,0.005347
49,59596,1.13028,0.73078,1.33648,0.92924,0.90543,0.94903,0.6572,1.12899,0.50766,1.39587,0.005248,0.005248,0.005248
50,60796,1.12826,0.72877,1.33531,0.92369,0.91321,0.94984,0.65826,1.12556,0.50609,1.39067,0.005149,0.005149,0.005149
51,61974.1,1.12705,0.73151,1.33104,0.91917,0.91501,0.95061,0.65711,1.12625,0.50388,1.39396,0.00505,0.00505,0.00505
52,63171.9,1.12381,0.72775,1.33094,0.92058,0.91714,0.95118,0.66035,1.12242,0.50156,1.39059,0.004951,0.004951,0.004951
53,64385.7,1.1239,0.7188,1.33123,0.92398,0.91108,0.95086,0.66036,1.1237,0.50117,1.38963,0.004852,0.004852,0.004852
54,65582,1.11988,0.72263,1.32873,0.92325,0.91041,0.95022,0.66001,1.12162,0.49965,1.3888,0.004753,0.004753,0.004753
55,66782.5,1.11444,0.71181,1.32728,0.91967,0.91824,0.95111,0.66268,1.1194,0.49504,1.38434,0.004654,0.004654,0.004654
56,67992.9,1.11004,0.71184,1.32129,0.92095,0.91829,0.95219,0.66101,1.12317,0.49677,1.38871,0.004555,0.004555,0.004555
57,69197.5,1.10416,0.70602,1.31736,0.91854,0.91697,0.95144,0.66028,1.12509,0.49717,1.38793,0.004456,0.004456,0.004456
58,70398.5,1.10441,0.6992,1.31959,0.92417,0.91289,0.95166,0.66212,1.12195,0.49766,1.38679,0.004357,0.004357,0.004357
59,71594.9,1.10313,0.69679,1.31674,0.91817,0.92027,0.94995,0.6626,1.12089,0.49645,1.38779,0.004258,0.004258,0.004258
60,72794.5,1.0967,0.69103,1.31112,0.92191,0.91917,0.95211,0.66154,1.1217,0.49287,1.38612,0.004159,0.004159,0.004159
61,74000.3,1.09961,0.68775,1.31386,0.93271,0.90913,0.95266,0.66286,1.11807,0.4874,1.38204,0.00406,0.00406,0.00406
62,75185.9,1.09444,0.68778,1.31167,0.92166,0.91524,0.95198,0.66294,1.11832,0.48706,1.38381,0.003961,0.003961,0.003961
63,76382.2,1.09051,0.68605,1.30436,0.9245,0.91485,0.9531,0.66335,1.11854,0.48898,1.3829,0.003862,0.003862,0.003862
64,77589.3,1.09082,0.68123,1.30565,0.92428,0.91484,0.95322,0.66471,1.11843,0.48621,1.38184,0.003763,0.003763,0.003763
65,78778.1,1.0842,0.68509,1.30634,0.91995,0.9207,0.95472,0.66569,1.11943,0.48375,1.38213,0.003664,0.003664,0.003664
66,79968.6,1.08602,0.67942,1.30798,0.92872,0.91633,0.95385,0.66559,1.11804,0.48306,1.38125,0.003565,0.003565,0.003565
67,81172.1,1.08263,0.67425,1.30048,0.9234,0.9197,0.95364,0.66569,1.12062,0.48289,1.38374,0.003466,0.003466,0.003466
68,82372.5,1.07891,0.67136,1.29727,0.92499,0.92149,0.95495,0.66552,1.12275,0.48026,1.3865,0.003367,0.003367,0.003367
69,83568.2,1.0734,0.66298,1.29371,0.92305,0.92026,0.95337,0.66575,1.12123,0.48222,1.38681,0.003268,0.003268,0.003268
70,84767.6,1.0748,0.66499,1.29546,0.92545,0.91798,0.95336,0.6648,1.12186,0.48187,1.38712,0.003169,0.003169,0.003169
71,85948.2,1.0688,0.66429,1.29431,0.93029,0.91555,0.95427,0.66439,1.12209,0.48015,1.38623,0.00307,0.00307,0.00307
72,87142.6,1.06733,0.6622,1.29105,0.9276,0.9172,0.95416,0.66417,1.12089,0.48057,1.38426,0.002971,0.002971,0.002971
73,88323.4,1.06284,0.66148,1.29229,0.92448,0.92126,0.95411,0.66528,1.12,0.47963,1.38408,0.002872,0.002872,0.002872
74,89504.8,1.06173,0.65349,1.28936,0.92037,0.9247,0.95503,0.66593,1.11954,0.4761,1.38426,0.002773,0.002773,0.002773
75,90682.7,1.05746,0.64868,1.2813,0.92257,0.92442,0.95465,0.66566,1.11946,0.4744,1.38309,0.002674,0.002674,0.002674
76,91874.2,1.05741,0.64698,1.28352,0.93019,0.91469,0.95375,0.66426,1.11966,0.47667,1.38334,0.002575,0.002575,0.002575
77,93049.8,1.05117,0.63952,1.27715,0.93203,0.91264,0.95364,0.66447,1.11995,0.47614,1.38457,0.002476,0.002476,0.002476
78,94250.1,1.05226,0.64624,1.27767,0.92377,0.92093,0.95337,0.66443,1.12033,0.47538,1.38456,0.002377,0.002377,0.002377
79,95432.9,1.05218,0.64341,1.28403,0.92425,0.92113,0.9524,0.66483,1.11984,0.47656,1.38423,0.002278,0.002278,0.002278
80,96609.1,1.04385,0.63424,1.27527,0.92611,0.91684,0.95228,0.66494,1.11902,0.47685,1.38427,0.002179,0.002179,0.002179
81,97793.4,1.04391,0.63553,1.28027,0.92464,0.92075,0.95357,0.66593,1.11916,0.47586,1.38406,0.00208,0.00208,0.00208
82,98987.1,1.04171,0.633,1.27764,0.92355,0.92282,0.95399,0.66662,1.11909,0.47524,1.38317,0.001981,0.001981,0.001981
83,100165,1.03795,0.63266,1.27499,0.92884,0.91937,0.95423,0.66588,1.11975,0.47511,1.38352,0.001882,0.001882,0.001882
84,101389,1.0305,0.61966,1.26935,0.9225,0.92465,0.95396,0.66621,1.12046,0.47394,1.38408,0.001783,0.001783,0.001783
85,102559,1.02454,0.61928,1.26276,0.92573,0.92377,0.95363,0.66643,1.12114,0.47408,1.38467,0.001684,0.001684,0.001684
86,103750,1.02378,0.61322,1.2611,0.92591,0.92053,0.9537,0.66583,1.12297,0.47332,1.38698,0.001585,0.001585,0.001585
87,104948,1.02279,0.6184,1.26357,0.92547,0.92034,0.95336,0.66529,1.12401,0.47361,1.38819,0.001486,0.001486,0.001486
88,106140,1.02188,0.61161,1.2628,0.92789,0.91821,0.95374,0.66538,1.12404,0.47398,1.38814,0.001387,0.001387,0.001387
89,107351,1.01249,0.61007,1.25789,0.9338,0.91373,0.95393,0.66529,1.12474,0.47425,1.38813,0.001288,0.001288,0.001288
90,108512,1.01112,0.60437,1.25693,0.92541,0.92185,0.95353,0.6653,1.12448,0.47339,1.38839,0.001189,0.001189,0.001189
91,109711,0.93983,0.43052,1.26103,0.92493,0.92109,0.95384,0.66564,1.12543,0.47337,1.39059,0.00109,0.00109,0.00109
92,110896,0.92166,0.41419,1.2483,0.92882,0.91743,0.9535,0.66515,1.12491,0.47323,1.39123,0.000991,0.000991,0.000991
93,112115,0.91602,0.40805,1.24599,0.92742,0.91705,0.95316,0.66424,1.1245,0.47325,1.39155,0.000892,0.000892,0.000892
94,113313,0.90918,0.40455,1.23939,0.92764,0.91747,0.95267,0.66359,1.12537,0.47325,1.39304,0.000793,0.000793,0.000793
95,114523,0.90173,0.3978,1.23246,0.92931,0.91857,0.95266,0.66306,1.12666,0.47401,1.39462,0.000694,0.000694,0.000694
96,115728,0.89978,0.39626,1.23599,0.9301,0.92018,0.9526,0.66269,1.1268,0.47485,1.39547,0.000595,0.000595,0.000595
97,116898,0.89568,0.394,1.2328,0.93219,0.91888,0.95293,0.66312,1.12768,0.47563,1.39662,0.000496,0.000496,0.000496
98,118109,0.88935,0.38986,1.23029,0.93319,0.92031,0.95282,0.66275,1.12869,0.47612,1.39832,0.000397,0.000397,0.000397
99,119340,0.88263,0.38508,1.223,0.93178,0.92132,0.9525,0.66263,1.12934,0.47699,1.39952,0.000298,0.000298,0.000298
100,120524,0.87959,0.38307,1.21621,0.93066,0.92119,0.95237,0.66219,1.13028,0.47763,1.40106,0.000199,0.000199,0.000199
