epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,171.581,1.66446,2.29811,1.71035,0.81987,0.74219,0.82136,0.42365,1.61069,1.23592,1.57839,0.0033269,0.0033269,0.0033269
2,336.083,1.53029,1.42544,1.58756,0.8003,0.74115,0.81665,0.44609,1.52936,1.14892,1.48039,0.0065943,0.0065943,0.0065943
3,486.427,1.54927,1.40396,1.57321,0.8044,0.72488,0.80153,0.42506,1.56894,1.15374,1.53812,0.00979569,0.00979569,0.00979569
4,632.697,1.55764,1.4032,1.5772,0.80533,0.751,0.81193,0.41244,1.66287,1.14055,1.60762,0.009703,0.009703,0.009703
5,777.745,1.51961,1.34987,1.552,0.83606,0.75567,0.8319,0.4414,1.59272,1.10156,1.55059,0.009604,0.009604,0.009604
6,922.195,1.49912,1.29249,1.5315,0.86418,0.77959,0.86414,0.49735,1.45024,0.95867,1.42427,0.009505,0.009505,0.009505
7,1067.4,1.47842,1.268,1.51905,0.84448,0.79875,0.8588,0.45811,1.59209,0.98886,1.51105,0.009406,0.009406,0.009406
8,1211.17,1.45944,1.23595,1.50081,0.83359,0.78872,0.85189,0.46975,1.54086,0.96932,1.48316,0.009307,0.009307,0.009307
9,1354.06,1.44649,1.1973,1.4908,0.87911,0.80561,0.8796,0.50998,1.44663,0.86061,1.4172,0.009208,0.009208,0.009208
10,1498.06,1.43575,1.17097,1.48138,0.87529,0.8321,0.89431,0.54194,1.35892,0.82635,1.36693,0.009109,0.009109,0.009109
11,1642.26,1.41913,1.15232,1.46935,0.86728,0.81859,0.88427,0.52218,1.39058,0.88788,1.3933,0.00901,0.00901,0.00901
12,1785.35,1.41292,1.1376,1.46768,0.87093,0.82585,0.88961,0.53507,1.37141,0.79956,1.37552,0.008911,0.008911,0.008911
13,1928.79,1.41034,1.12029,1.46243,0.8729,0.80428,0.87975,0.53604,1.35839,0.80966,1.35982,0.008812,0.008812,0.008812
14,2072.49,1.3953,1.11274,1.45508,0.87642,0.84007,0.89749,0.51678,1.45183,0.80815,1.41401,0.008713,0.008713,0.008713
15,2216.18,1.38494,1.09787,1.44863,0.89328,0.84824,0.91007,0.55595,1.35322,0.74549,1.34654,0.008614,0.008614,0.008614
16,2359.43,1.37725,1.08067,1.44113,0.89727,0.83847,0.90691,0.55762,1.33978,0.734,1.34037,0.008515,0.008515,0.008515
17,2502.69,1.37182,1.07301,1.43621,0.89211,0.84635,0.90921,0.55719,1.34145,0.73772,1.34394,0.008416,0.008416,0.008416
18,2646.41,1.37391,1.06938,1.43878,0.89394,0.85391,0.91083,0.55952,1.33863,0.7343,1.34246,0.008317,0.008317,0.008317
19,2790.11,1.36033,1.05097,1.43169,0.89705,0.85165,0.91225,0.55412,1.35161,0.73353,1.35531,0.008218,0.008218,0.008218
20,2933.46,1.36221,1.05282,1.42906,0.89749,0.85651,0.91645,0.56919,1.30884,0.70534,1.31948,0.008119,0.008119,0.008119
21,3076.56,1.34974,1.03969,1.42252,0.89027,0.85202,0.91335,0.57009,1.31961,0.70702,1.32804,0.00802,0.00802,0.00802
22,3220.05,1.35193,1.03758,1.42469,0.90079,0.85306,0.91622,0.57484,1.29638,0.69265,1.31641,0.007921,0.007921,0.007921
23,3363.25,1.34198,1.02249,1.41608,0.89877,0.87061,0.9253,0.5742,1.31849,0.67044,1.32058,0.007822,0.007822,0.007822
24,3506.3,1.33384,1.00925,1.40974,0.91125,0.86777,0.92579,0.58089,1.30674,0.66731,1.31183,0.007723,0.007723,0.007723
25,3650.05,1.32541,1.00109,1.40533,0.8993,0.86886,0.92171,0.58274,1.29009,0.66366,1.30464,0.007624,0.007624,0.007624
26,3793.26,1.3345,1.00443,1.40701,0.89342,0.86494,0.92211,0.58447,1.27735,0.67237,1.29983,0.007525,0.007525,0.007525
27,3936.78,1.31859,0.9889,1.3954,0.91169,0.86065,0.92271,0.59294,1.2638,0.64509,1.29054,0.007426,0.007426,0.007426
28,4080.67,1.32083,0.98723,1.39945,0.90368,0.86772,0.92519,0.58986,1.27585,0.65472,1.30132,0.007327,0.007327,0.007327
29,4223.86,1.31545,0.98446,1.39569,0.90197,0.86917,0.92562,0.59175,1.27071,0.65048,1.29523,0.007228,0.007228,0.007228
30,4367.66,1.30893,0.9735,1.39193,0.91054,0.86872,0.92776,0.5914,1.27265,0.64681,1.29644,0.007129,0.007129,0.007129
